name,reference product,CPC,interventionpaper
"market group for heat, central or small-scale, biomethane","heat, central or small-scale, biomethane",17300: Steam and hot water,industrial heat
"operation, solar collector system, Cu flat plate collector, one-family house, for hot water","heat, central or small-scale, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of waste polystyrene, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"steel production, electric, low-alloyed","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of waste polyethylene, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"heat production, biomethane, at boiler condensing modulating <100kW","heat, central or small-scale, biomethane",17300: Steam and hot water,buildings heat
"treatment of sewage sludge, 70% water, WWT, rainwater mineral oil storage, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"heat and power co-generation, natural gas, 200kW electrical, lean burn","heat, district or industrial, natural gas",17300: Steam and hot water,industrial heat
"treatment of residue from mechanical treatment, desktop computer, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"heat production, propane, at industrial furnace >100kW","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"market for heat, central or small-scale, other than natural gas","heat, central or small-scale, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of waste textile, soiled, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"heat production, natural gas, at boiler condensing modulating >100kW","heat, district or industrial, natural gas",17300: Steam and hot water,buildings heat
"heat production, hard coal coke, stove 5-15kW","heat, central or small-scale, other than natural gas",17300: Steam and hot water,buildings heat
"treatment of waste polyurethane, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of waste plastic, mixture, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"heat production, hardwood chips from forest, at furnace 50kW","heat, central or small-scale, other than natural gas",17300: Steam and hot water,buildings heat
"heat production, mixed logs, at wood heater 6kW, state-of-the-art 2014","heat, central or small-scale, other than natural gas",17300: Steam and hot water,industrial heat
"heat and power co-generation, natural gas, mini-plant 2KW electrical","heat, central or small-scale, natural gas",17300: Steam and hot water,industrial heat
"treatment of waste aluminium, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of waste emulsion paint, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT[R], WW from anaerobic digestion of whey, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"heat production, softwood chips from forest, at furnace 5000kW, state-of-the-art 2014","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of waste plastic, industrial electronics, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of waste plastic, mixture, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"heat production, at heat pump 30kW, allocation exergy","heat, central or small-scale, other than natural gas",17300: Steam and hot water,industrial heat
"heat production, softwood chips from forest, at furnace 50kW, state-of-the-art 2014","heat, central or small-scale, other than natural gas",17300: Steam and hot water,buildings heat
"heat production, coal tar, at industrial furnace 1MW","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of used capacitor, to hazardous waste incineration, with energy recovery","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of waste paperboard, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 75% water, WWT, WW from PV cell production, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"market for steam, in chemical industry","steam, in chemical industry",17300: Steam and hot water,industrial heat
"treatment of waste polyvinylfluoride, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of residue from mechanical treatment, industrial device, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"heat production, hardwood chips from forest, at furnace 1000kW","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"heat production, wood chips from industry, at furnace 300kW","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"heat production, wood pellet, at furnace 25kW, state-of-the-art 2014","heat, central or small-scale, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of residue from mechanical treatment, desktop computer, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of spent antifreezer liquid, hazardous waste incineration, with energy recovery","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of wastewater from cathode ray tube production, wastewater treatment","heat, central or small-scale, other than natural gas",17300: Steam and hot water,industrial heat
"heat production, wood chips from industry, at furnace 1000kW","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
sulfuric acid production,"steam, in chemical industry",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT, WW from LCD backlight production, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"heat production, at coal coke industrial furnace 1-10MW","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of waste wood, untreated, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of waste polystyrene, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of wastewater from hard fibreboard production, wastewater treatment","heat, central or small-scale, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of waste wood pole, chrome preserved, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"heat, at cogen, with supporting oil furnace 60%, 160kWe Jakobsberg, allocation exergy","heat, central or small-scale, Jakobsberg",17300: Steam and hot water,industrial heat
"heat production, straw, organic, at furnace 300kW","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of residue from mechanical treatment, laptop computer, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 75% water, WWT, WW from LCD production, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"refinery gas, burned in furnace","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of stalk, in wood heater 6kW","heat, central or small-scale, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT, WW from glass production, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 75% water, WWT, WW from particle board production, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT-SLF, refinery sludge, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of waste polystyrene, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of waste plastic, consumer electronics, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of waste plastic, consumer electronics, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"heat, non-market, at cogen 160kWe Jakobsberg, allocation exergy","heat, central or small-scale, natural gas and heat pump, Jakobsberg",17300: Steam and hot water,industrial heat
"treatment of waste graphical paper, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of LDPE/Alu in waste juice carton (ambient), post-industrial, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT-SLF, waste polypropylene, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT-SLF, waste bitumen, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT-SLF, waste polyethylene terephthalate, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT-SLF, waste polyethylene terephthalate, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"heat production, wood chips from industry, at furnace 1000kW, state-of-the-art 2014","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 75% water, WWT, WW from ceramic production, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT-SLF, refinery sludge, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT-SLF, waste polyethylene, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"heat production, mixed logs, at furnace 100kW, state-of-the-art 2014","heat, central or small-scale, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of waste polypropylene, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of residue from mechanical treatment, laptop computer, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sludge from pulp and paper production, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"heat production, air-water heat pump 10kW","heat, air-water heat pump 10kW",17300: Steam and hot water,industrial heat
"natural gas, burned in micro gas turbine, 100kWe","heat, central or small-scale, natural gas",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT-SLF, waste paint, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"heat production, softwood chips from forest, at furnace 300kW, state-of-the-art 2014","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"market for heat, central or small-scale, natural gas, Jakobsberg","heat, central or small-scale, natural gas, Jakobsberg",17300: Steam and hot water,industrial heat
"treatment of waste emulsion paint, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT-SLF, waste wood, untreated, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"sulfate pulp production, from softwood, unbleached","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"heat production, wood chips from post-consumer wood, at furnace 300kW","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of bilge oil, hazardous waste incineration, with energy recovery","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"heat production, hardwood chips from forest, at furnace 300kW","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"heat production, natural gas, at boiler condensing modulating <100kW","heat, central or small-scale, natural gas",17300: Steam and hot water,buildings heat
"treatment of sewage sludge, 70% water, WWT-SLF, waste polyvinylchloride, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"heat production, wood pellet, at furnace 300kW","heat, central or small-scale, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of LDPE/Alu in waste UHT milk carton (ambient), post-industrial, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 75% water, WWT, WW from LCD backlight production, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"heat production, mixed logs, at furnace 100kW","heat, central or small-scale, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of spent cation exchange resin from potable water production, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"heat and power co-generation, natural gas, 160kW electrical, Jakobsberg","heat, central or small-scale, natural gas, Jakobsberg",17300: Steam and hot water,industrial heat
"heat and power co-generation, natural gas, 500kW electrical, lean burn","heat, district or industrial, natural gas",17300: Steam and hot water,industrial heat
"treatment of residue from mechanical treatment, laser printer, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"market for heat, central or small-scale, Jakobsberg","heat, central or small-scale, Jakobsberg",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 75% water, WWT, WW from CRT production, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of waste wood, untreated, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"market for heat, from steam, in chemical industry","heat, from steam, in chemical industry",17300: Steam and hot water,industrial heat
"treatment of waste packaging paper, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of waste bitumen sheet, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of residue from mechanical treatment, liquid crystal display, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT, WW from grass refinery, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 75% water, WWT, heat carrier liquid, 40% C3H8O2, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of waste plastic, industrial electronics, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"hot rolling, steel","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
kraft paper production,"heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"sulfate pulp production, from eucalyptus, bleached","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"heat and power co-generation, wood chips, 2000 kW, state-of-the-art 2014","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of lignite ash, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"heat production, at hot water tank, solar+electric, flat plate, multiple dwelling","heat, solar+electric, multiple-dwelling, for hot water",17300: Steam and hot water,industrial heat
"treatment of waste expanded polystyrene, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of waste building wood, chrome preserved, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"heat production, wood pellet, at furnace 9kW","heat, central or small-scale, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 75% water, WWT, WW from soft fibreboard production, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of wastewater from liquid crystal display backlight production, wastewater treatment","heat, central or small-scale, other than natural gas",17300: Steam and hot water,industrial heat
market for floor heating from borehole heat pump,"heat, brine-water heat pump 10kW",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 75% water, WWT[R], WW from anaerobic digestion of whey, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"heat production, natural gas, at boiler fan burner low-NOx non-modulating <100kW","heat, central or small-scale, natural gas",17300: Steam and hot water,buildings heat
"sulfate pulp production, from softwood, bleached","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of waste polyethylene, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of waste cement-fibre slab, dismantled, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 75% water, WWT[U], WW from lorry production, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of waste polyvinylchloride, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"heat production, softwood chips from forest, at furnace 5000kW","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"heat production, at solar+gas heating, tube collector, one-family house, combined system","heat, solar+gas, one-family house, for combined system",17300: Steam and hot water,industrial heat
"treatment of waste sealing sheet, polyvinylchloride, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of waste polyvinylfluoride, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of spent oxychlor catalyst, hazardous waste incineration, with energy recovery","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"heat production, biomethane, low pressure, at diffusion absorption heat pump 4kW, future","heat, diffusion absorption heat pump",17300: Steam and hot water,industrial heat
"treatment of waste wood, untreated, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of residue from shredder fraction from manual dismantling, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"heat production, softwood chips from forest, at furnace 50kW","heat, central or small-scale, other than natural gas",17300: Steam and hot water,buildings heat
"particleboard production, uncoated, average glue mix","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 75% water, WWT, WW from black chrome coating, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT-SLF, waste polystyrene, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"market for heat, future","heat, future",17300: Steam and hot water,industrial heat
"treatment of digester sludge, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"biomethane, low pressure burned in polymer electrolyte membrane fuel cell 2kWe, future","heat, future",17300: Steam and hot water,industrial heat
"biomethane, low pressure burned in solid oxide fuel cell 125kWe, future","heat, future",17300: Steam and hot water,industrial heat
"treatment of residue from mechanical treatment, laser printer, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of residue from mechanical treatment, cathode ray tube display, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"heat production, natural gas, at boiler atmospheric low-NOx non-modulating <100kW","heat, central or small-scale, natural gas",17300: Steam and hot water,buildings heat
"treatment of sewage sludge, 75% water, WWT, WW, average, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"coke production, dry quenching","steam, in chemical industry",17300: Steam and hot water,industrial heat
"treatment of hazardous waste, hazardous waste incineration, with energy recovery","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"smelting and refining of nickel concentrate, 7% Ni","steam, in chemical industry",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT-SLF, waste polystyrene, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"heat production, wood chips from industry, at furnace 300kW, state-of-the-art 2014","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 75% water, WWT, WW from tube collector production, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT, WW from liquid crystal production, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of waste plastic, consumer electronics, sanitary landfill, wet infiltration class (500mm)","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of wastewater from vegetable oil refinery, wastewater treatment","heat, central or small-scale, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 75% water, WWT, WW from vegetable oil refinery, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of waste rubber, unspecified, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT, WW from glass production, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"market group for heat, district or industrial, natural gas","heat, district or industrial, natural gas",17300: Steam and hot water,industrial heat
"heat production, borehole heat exchanger, brine-water heat pump 10kW","heat, brine-water heat pump 10kW",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 75% water, WWT, WW from pig iron production, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of waste wire plastic, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT, WW from grass refinery, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 75% water, WWT, WW from liquid crystal production, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT, WW from soft fibreboard production, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"market for heavy fuel oil, burned in refinery furnace","heavy fuel oil, burned in refinery furnace",17300: Steam and hot water,industrial heat
"heat production, at hot water tank, solar+gas, flat plate, multiple dwelling","heat, solar+gas, multiple-dwelling, for hot water",17300: Steam and hot water,industrial heat
"treatment of wastewater, average, wastewater treatment","heat, central or small-scale, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of waste sealing sheet, polyethylene, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"heat production, softwood chips from forest, at furnace 1000kW, state-of-the-art 2014","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT, heat carrier liquid, 40% C3H8O2, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"heat and power co-generation, biogas, gas engine, renewable energy products","heat, central or small-scale, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of waste rubber, unspecified, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of residue from mechanical treatment, liquid crystal display, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of biowaste, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of waste newspaper, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 75% water, WWT, WW from plywood production, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 75% water, WWT, condensate from light oil boiler, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,buildings heat
"natural gas, burned in solid oxide fuel cell 125kWe, future","heat, future",17300: Steam and hot water,industrial heat
"treatment of waste graphical paper, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of waste paint, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT-SLF, waste paperboard, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of residue from shredder fraction from manual dismantling, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of used liquid crystal display module, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"heat production, mixed logs, at furnace 30kW, state-of-the-art 2014","heat, central or small-scale, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT-SLF, waste plastic, mixture, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT-SLF, waste polypropylene, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of waste packaging paper, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 75% water, WWT, WW from concrete production, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of waste vapour barrier, flame-retarded, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of waste glass, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of waste paperboard, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of waste wire plastic, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of waste polyurethane, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT-SLF, waste packaging paper, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of waste graphical paper, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 75% water, WWT, WW from wafer fabrication, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT, WW from CRT production, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of waste polyethylene terephthalate, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT-SLF, waste paperboard, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of used liquid crystal display module, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of waste polyvinylchloride, sanitary landfill","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"heat production, straw, at furnace 300kW","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT, WW from plywood production, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
primary zinc production from concentrate,"heat, from steam, in chemical industry",17300: Steam and hot water,industrial heat
"treatment of waste vapour barrier, flame-retarded, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT, WW from medium density board production, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT, WW from maize starch production, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT-SLF, waste plastic, mixture, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT-SLF, waste graphical paper, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT, WW from vegetable oil refinery, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of residue from mechanical treatment, IT accessory, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT, heat carrier liquid, 40% C3H8O2, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of waste bitumen sheet, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of waste glass, municipal incineration","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT-SLF, waste newspaper, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"treatment of sewage sludge, 70% water, WWT-SLF, waste graphical paper, municipal incineration FAE","heat, for reuse in municipal waste incineration only",17300: Steam and hot water,industrial heat
"heat production, at co-generation hard coal-fired power plant, post, pipeline 200km, storage 1000m","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"heat production, at co-generation wood-fired power plant, post, pipeline 200km, storage 1000m","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"heat production, at co-generation natural gas-fired power plant, post, pipeline 200km, storage 1000m","heat, district or industrial, natural gas",17300: Steam and hot water,industrial heat
"heat production, at co-generation oil-fired power plant, post, pipeline 200km, storage 1000m","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"municipal waste incineration, at incineration plant, with wet air pollution control, without flue gas condensation, with electricity and heat recovery",municipal solid waste,17300: Steam and hot water,industrial heat
