name,reference product,CPC,interventionpaper
esters of versatic acid production,esters of versatic acid,"34140: Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, […]",chemicals and plastics
"market for electricity, medium voltage","electricity, medium voltage",17100: Electrical energy,electricity production
"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted","electricity, low voltage",17100: Electrical energy,electricity production
"yarding, sled yarder",cable yarding,8614: Support and operation services to forestry and logging,forest biomass
"treatment of waste polyvinylchloride, sanitary landfill","electricity, medium voltage",17100: Electrical energy,electricity production
"petrol, unleaded, import from RoW","petrol, unleaded",33311: Motor gasoline,oil and gas products
"market for sawlog and veneer log, meranti, measured as solid wood under bark","sawlog and veneer log, meranti, measured as solid wood under bark",03120: Logs of non-coniferous wood,forest biomass
"transport, freight, small lorry with refrigeration machine, EURO3, R134a refrigerant, freezing to generic market","transport, freight, lorry with refrigeration machine, freezing",65111: Road transport services of freight by refrigerator vehicles,road transport
"board, hardwood, raw, kiln drying to u=10%","sawnwood, board, hardwood, raw, dried (u=10%)","31102: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of non-coniferous wood ",forest biomass
"excavation, skid-steer loader","excavation, skid-steer loader",54330: Excavating and earthmoving services,construction
"acetaldehyde production, ethylene oxidation",acetaldehyde,"34170: Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…]",chemicals and plastics
"linseed seed production, at farm","linseed seed, at farm",01441: Linseed,agricultural biomass
"room-connecting overflow element production, steel, approx. 40 m3/h","room-connecting overflow element, steel, approx. 40 m3/h","44831: Parts of the following appliances: electromechanical domestic appliances, shavers and hairclippers, with self-[…]",machinery and equipment
zinc mine operation,lime,"37420: Quicklime, slaked lime and hydraulic lime",other products
"treatment of municipal solid waste, municipal incineration","electricity, for reuse in municipal waste incineration only",17100: Electrical energy,electricity production
"operation, printer, laser, colour, per kg printed paper",printed paper,"32129: Other uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, and punch[…]",pulp and paper
"industrial machine production, heavy, unspecified","industrial machine, heavy, unspecified","444: Machinery for mining, quarrying and construction, and parts thereof",machinery and equipment
ethylamine production,ethylamine,"34150: Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]",chemicals and plastics
market for paclobutrazol,paclobutrazol,"34619: Other nitrogenous fertilizers and mixtures, n.e.c.",chemicals and plastics
"tetrafluoroethylene film production, on glass","tetrafluoroethylene film, on glass","34730: Polymers of vinyl chloride or other halogenated olefins, in primary forms",chemicals and plastics
"battery cell production, Li-ion, LFP","battery cell, Li-ion, LFP",46410: Primary cells and primary batteries,machinery and equipment
"concentrated solar power plant construction, solar tower power plant, 20 MW","concentrated solar power plant, solar tower, 20 MW",53262: Power plants,construction
bulk lead-zinc concentrate to generic markets for zinc concentrate and lead concentrate,zinc concentrate,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates),mining and basic metals
"natural gas, liquefied, import from RU","natural gas, liquefied","12020: Natural gas, liquefied or in the gaseous state",fossil fuel extraction
"market for lightweight concrete block, expanded vermiculite","lightweight concrete block, expanded vermiculite","37540: Tiles, flagstones, bricks and similar articles, of cement, concrete or artificial stone",other products
"glazing production, triple, U<0.5 W/m2K","glazing, triple, U<0.5 W/m2K","37114: Glass in sheets, bent, edge-worked, engraved, drilled, enamelled or otherwise worked, but not framed, etc.",other products
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5","3462: Mineral or chemical fertilizers, phosphatic",chemicals and plastics
"transport, passenger coach","transport, passenger coach","64119: Other land transportation services of passengers, n.e.c.",road transport
"treatment of sewage sludge, 97% water, WWT, WW from plywood production, landfarming","organic phosphorus fertiliser, as P2O5",34659: Fertilizers n.e.c.,chemicals and plastics
"market for furnace, pellets, with silo, 300kW","furnace, pellets, with silo, 300kW","43420: Industrial or laboratory furnaces and ovens, except non-electric bakery ovens; other industrial or laboratory […]",machinery and equipment
"market for soybean seed, organic, for sowing","soybean seed, organic, for sowing","01411: Soya beans, seed for planting",agricultural biomass
"electricity production, lignite","electricity, high voltage",17100: Electrical energy,electricity production
"market for selective coat, copper sheet, black majic","selective coat, copper sheet, black majic",88731: Metal treatment and coating services,other services
"treatment of sewage sludge, 97% water, WWT, heat carrier liquid, 40% C3H8O2, landfarming","organic nitrogen fertiliser, as N",34659: Fertilizers n.e.c.,chemicals and plastics
"hardwood forestry, mixed species, sustainable forest management","cleft timber, measured as dry mass","3110: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers […]",forest biomass
"rare earth oxides production, from rare earth carbonate concentrate",dysprosium oxide,"34290: Compounds of rare earth metals, of yttrium or of scandium",chemicals and plastics
"sand quarry operation, open pit mine",sand,15310: Natural sands,minerals
market group for maize grain,maize grain,"01122: Maize (corn), other",agricultural biomass
"irrigation, sprinkler",irrigation,86119: Other support services to crop production,agricultural biomass
"chlor-alkali electrolysis, membrane cell","chlorine, gaseous","34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",chemicals and plastics
"electricity voltage transformation, residual mix, from high to medium voltage","electricity, medium voltage",17100: Electrical energy,electricity production
krypton to generic market for inert gas for discharge lamps,inert gas for discharge lamps,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.",chemicals and plastics
"transport, pipeline, long distance, natural gas","transport, pipeline, long distance, natural gas",65131: Transport services via pipeline of petroleum and natural gas,distribution
"market for oxygen, liquid","oxygen, liquid","34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.",chemicals and plastics
"lime production, milled, loose",lime,"37420: Quicklime, slaked lime and hydraulic lime",other products
"sawnwood production, hardwood, dried (u=20%), planed","sawnwood, hardwood, dried (u=20%), planed","31102: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of non-coniferous wood ",forest biomass
"land already in use, perennial cropland to perennial crop","land tenure, arable land, measured as carbon net primary productivity, perennial crop","91131: Public administrative services related to agriculture, forestry, fishing and hunting",other services
market for medium density fibreboard,medium density fibreboard,31441: Medium density fibreboard (MDF),forest biomass
market for irrigation,irrigation,86119: Other support services to crop production,agricultural biomass
"inverter production, 2.5kW","inverter, 2.5kW",46220: Parts of electricity distribution or control apparatus,machinery and equipment
"market for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N","34619: Other nitrogenous fertilizers and mixtures, n.e.c.",chemicals and plastics
"market for magnesium chloride, from zirconium sponge production","magnesium chloride, from zirconium sponge production",34220: Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iron oxides and hydroxides; earth[…],chemicals and plastics
"cement production, CEM III/B","cement, CEM III/B","37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers",other products
"liquid crystal display production, minor components, auxilliaries and assembly effort","liquid crystal display, minor components, auxilliaries and assembly effort","47315: Monitors and projectors, principally used in an automatic data processing system",machinery and equipment
"land already in use, annual cropland to perennial crop","land tenure, arable land, measured as carbon net primary productivity, perennial crop","91131: Public administrative services related to agriculture, forestry, fishing and hunting",other services
market for washing machine,washing machine,"44812: Dishwashing machines and clothes or linen washing or drying machines, household type, electric or non-electric",machinery and equipment
"concrete production, 30MPa, for drilled piles, with cement, Portland","concrete, 30MPa",37510: Non-refractory mortars and concretes,other products
"market for solar collector system, Cu flat plate collector, one-family house, hot water","solar collector system, Cu flat plate collector, one-family house, hot water",54631: Heating equipment installation services,construction
"market for intermodal shipping container, 40-foot, high-cube","intermodal shipping container, 40-foot, high-cube",49221: Containers specially designed and equipped for carriage by one or more modes of transport,machinery and equipment
"market for compressed air, 600 kPa gauge","compressed air, 600 kPa gauge",34250: Salts of oxometallic or peroxometallic acids; colloidal precious metals and compounds thereof; inorganic and o[…],chemicals and plastics
"clear-cutting, primary forest to arable land, forest, intensive","land tenure, arable land, measured as carbon net primary productivity, forest, intensive","91131: Public administrative services related to agriculture, forestry, fishing and hunting",other services
market for chlorpropham,chlorpropham,"34663: Herbicides, anti-sprouting products and plant-growth regulators",chemicals and plastics
"treatment of sewage sludge, 70% water, WWT, WW, average, municipal incineration","electricity, for reuse in municipal waste incineration only",17100: Electrical energy,electricity production
calcium nitrate production,calcium nitrate,34615: Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilizing substances,chemicals and plastics
market for gadolinium oxide,gadolinium oxide,"34290: Compounds of rare earth metals, of yttrium or of scandium",chemicals and plastics
"electricity voltage transformation, residual mix, from medium to low voltage","electricity, low voltage",17100: Electrical energy,electricity production
"treatment of waste paint, hazardous waste incineration, with energy recovery","electricity, medium voltage",17100: Electrical energy,electricity production
"selective coating, copper sheet, physical vapour deposition","selective coat, copper sheet, physical vapour deposition",88731: Metal treatment and coating services,other services
"market for land use change, perennial crop","land use change, perennial crop",83222: Rural land planning services,other services
"petroleum and gas production, onshore","natural gas, high pressure","12020: Natural gas, liquefied or in the gaseous state",fossil fuel extraction
sulfamic acid production,sulfamic acid,"34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",chemicals and plastics
